Panel	#	Xpix	Ypix
1221	1	1500.412056	1002.365797
1222	2	1503.585864	986.4099853
1223	3	1509.811513	971.3799389
1224	4	1518.849755	957.8532544
1225	5	1530.353254	946.3497549
1226	6	1543.879939	937.3115133
1227	7	1558.909985	931.0858643
1228	8	1574.865797	927.9120559
1321	9	1591.134203	927.9120559
1322	10	1607.090015	931.0858643
1323	11	1622.120061	937.3115133
1324	12	1635.646746	946.3497549
1325	13	1647.150245	957.8532544
1326	14	1656.188487	971.3799389
1327	15	1662.414136	986.4099853
1328	16	1665.587944	1002.365797
1421	17	1665.587944	1018.634203
1422	18	1662.414136	1034.590015
1423	19	1656.188487	1049.620061
1424	20	1647.150245	1063.146746
1425	21	1635.646746	1074.650245
1426	22	1622.120061	1083.688487
1427	23	1607.090015	1089.914136
1428	24	1591.134203	1093.087944
1121	25	1574.865797	1093.087944
1122	26	1558.909985	1089.914136
1123	27	1543.879939	1083.688487
1124	28	1530.353254	1074.650245
1125	29	1518.849755	1063.146746
1126	30	1509.811513	1049.620061
1127	31	1503.585864	1034.590015
1128	32	1500.412056	1018.634203
1211	1	1542.303515	1002.404966
1212	2	1548.499186	987.4472932
1213	3	1559.947293	975.9991862
1214	4	1574.904966	969.8035153
1311	5	1591.095034	969.8035153
1312	6	1606.052707	975.9991862
1313	7	1617.500814	987.4472932
1314	8	1623.696485	1002.404966
1411	9	1623.696485	1018.595034
1412	10	1617.500814	1033.552707
1413	11	1606.052707	1045.000814
1414	12	1591.095034	1051.196485
1111	13	1574.904966	1051.196485
1112	14	1559.947293	1045.000814
1113	15	1548.499186	1033.552707
1114	16	1542.303515	1018.595034
