Panel	#	Xpix	Ypix
1221	1	1500.4873786027529	1002.3732161239068
1222	2	1503.658292369438	986.4319561185256
1223	3	1509.878263465023	971.4156175419951
1224	4	1518.9082618885054	957.9012698645514
1225	5	1530.4012698645513	946.4082618885053
1226	6	1543.915617541995	937.3782634650232
1227	7	1558.9319561185257	931.158292369438
1228	8	1574.8732161239068	927.9873786027529
1321	9	1591.1267838760932	927.9873786027529
1322	10	1607.0680438814743	931.158292369438
1323	11	1622.084382458005	937.3782634650232
1324	12	1635.5987301354485	946.4082618885053
1325	13	1647.0917381114946	957.9012698645514
1326	14	1656.121736534977	971.4156175419951
1327	15	1662.341707630562	986.4319561185256
1328	16	1665.5126213972471	1002.3732161239068
1421	17	1665.5126213972471	1018.6267838760932
1422	18	1662.341707630562	1034.5680438814743
1423	19	1656.121736534977	1049.584382458005
1424	20	1647.0917381114946	1063.0987301354487
1425	21	1635.5987301354487	1074.5917381114946
1426	22	1622.084382458005	1083.621736534977
1427	23	1607.0680438814743	1089.841707630562
1428	24	1591.1267838760932	1093.0126213972471
1121	25	1574.8732161239068	1093.0126213972471
1122	26	1558.9319561185257	1089.841707630562
1123	27	1543.915617541995	1083.621736534977
1124	28	1530.4012698645513	1074.5917381114946
1125	29	1518.9082618885054	1063.0987301354487
1126	30	1509.878263465023	1049.584382458005
1127	31	1503.658292369438	1034.5680438814743
1128	32	1500.4873786027529	1018.6267838760932
1211	1	1542.3406317716926	1002.4123488095461
1212	2	1548.5306520063616	987.4683180076444
1213	3	1559.9683180076445	976.0306520063616
1214	4	1574.912348809546	969.8406317716926
1311	5	1591.087651190454	969.8406317716926
1312	6	1606.0316819923555	976.0306520063616
1313	7	1617.4693479936384	987.4683180076444
1314	8	1623.6593682283074	1002.4123488095461
1411	9	1623.6593682283074	1018.5876511904539
1412	10	1617.4693479936384	1033.5316819923555
1413	11	1606.0316819923555	1044.9693479936384
1414	12	1591.087651190454	1051.1593682283074
1111	13	1574.912348809546	1051.1593682283074
1112	14	1559.9683180076445	1044.9693479936384
1113	15	1548.5306520063616	1033.5316819923555
1114	16	1542.3406317716926	1018.5876511904539
